Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2013","2013","kg","14.23","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2017","2017","kg","10.51","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2021","2021","kg","8.28","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2735","Meat, Other","2010","2010","kg","0.38","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2735","Meat, Other","2013","2013","kg","0.34","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2735","Meat, Other","2017","2017","kg","0.33","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2735","Meat, Other","2021","2021","kg","0.28","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2736","Offals, Edible","2010","2010","kg","0.82","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2736","Offals, Edible","2013","2013","kg","0.81","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2736","Offals, Edible","2017","2017","kg","1.75","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2736","Offals, Edible","2021","2021","kg","1.3","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2740","Butter, Ghee","2010","2010","kg","0.05","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2740","Butter, Ghee","2013","2013","kg","0.07","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2740","Butter, Ghee","2017","2017","kg","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2740","Butter, Ghee","2021","2021","kg","0.05","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2743","Cream","2017","2017","kg","0.27","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2743","Cream","2021","2021","kg","0.05","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2737","Fats, Animals, Raw","2010","2010","kg","1.38","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2737","Fats, Animals, Raw","2013","2013","kg","0.56","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2737","Fats, Animals, Raw","2017","2017","kg","0.43","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2737","Fats, Animals, Raw","2021","2021","kg","0.35","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2744","Eggs","2010","2010","kg","1.39","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2744","Eggs","2013","2013","kg","1.12","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2744","Eggs","2017","2017","kg","0.09","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2744","Eggs","2021","2021","kg","0.07","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2848","Milk - Excluding Butter","2010","2010","kg","7.96","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2848","Milk - Excluding Butter","2013","2013","kg","8.06","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2848","Milk - Excluding Butter","2017","2017","kg","12.9","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2848","Milk - Excluding Butter","2021","2021","kg","9.8","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2761","Freshwater Fish","2010","2010","kg","0.6","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2761","Freshwater Fish","2013","2013","kg","0.77","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2761","Freshwater Fish","2017","2017","kg","1.1","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2761","Freshwater Fish","2021","2021","kg","1.24","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2762","Demersal Fish","2010","2010","kg","5.21","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2762","Demersal Fish","2013","2013","kg","4.56","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2762","Demersal Fish","2017","2017","kg","4.78","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2762","Demersal Fish","2021","2021","kg","2.48","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2763","Pelagic Fish","2010","2010","kg","7.65","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2763","Pelagic Fish","2013","2013","kg","14.37","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2763","Pelagic Fish","2017","2017","kg","10.55","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2763","Pelagic Fish","2021","2021","kg","8.57","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2764","Marine Fish, Other","2010","2010","kg","2.05","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2764","Marine Fish, Other","2013","2013","kg","3.02","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2764","Marine Fish, Other","2017","2017","kg","1.43","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2764","Marine Fish, Other","2021","2021","kg","0.93","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2765","Crustaceans","2010","2010","kg","0.1","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2765","Crustaceans","2013","2013","kg","0.17","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2765","Crustaceans","2017","2017","kg","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2765","Crustaceans","2021","2021","kg","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2766","Cephalopods","2010","2010","kg","0.08","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2766","Cephalopods","2013","2013","kg","0.09","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2766","Cephalopods","2017","2017","kg","0.11","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2766","Cephalopods","2021","2021","kg","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2767","Molluscs, Other","2010","2010","kg","0.03","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2767","Molluscs, Other","2013","2013","kg","0.04","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2767","Molluscs, Other","2017","2017","kg","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2767","Molluscs, Other","2021","2021","kg","0.01","E","Estimated value"
